"id","geo_geoname_id","language","name","alternate_name","created_at","updated_at"
"1","613273","en","Lebedyn",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"2","613273","ru","Лебедин",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"3","613273","uk","Лебедин",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"4","618835","en","Zhydachiv",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"5","618835","uk","Жидачів",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"6","618835","ru","Жидачов",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"7","686729","uk","Василівка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"8","686729","ru","Василівка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"9","686729","ru","Васильевка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"10","686778","ru","Аргинчик",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"11","686778","en","Zybiny",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"12","686778","ru","Зыбины",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"13","686778","uk","Зибини",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"14","686803","en","Zvenyhorodka",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"15","686803","ru","Звенигородка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"16","686803","uk","Звенигородка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"17","686812","uk","Зуя",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"18","686812","ru","Зуя",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"19","686812","en","Zuya",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"20","686875","en","Zolotonosha",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"21","686875","ru","Золотоноша",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"22","686875","uk","Золотоноша",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"23","686895","en","Zolochiv",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"24","686895","ru","Золочев",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"25","686895","uk","Золочів",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
